word1,word2,pubtitle,authors,n
500,md,Afro-American (1893-),NA,1
500,ninety,The Sun (1837-),NA,1
500,pairs,The Sun (1837-),NA,1
500,pay,The Sun (1837-),"O'Donnell, Louis J",1
500,people,The Sun (1837-),NA,1
500,planos,The Sun (1837-),"Scarborough, Katherine",1
500,pounds,The Sun (1837-),NA,1
500,ray,The Sun (1837-),NA,1
500,salary,The Sun (1837-),NA,1
500,seek,The Sun (1837-),NA,1
500,soldiers,The Sun (1837-),NA,1
500,south,The Sun (1837-),NA,1
500,st,Afro-American (1893-),NA,1
500,wat,The Sun (1837-),NA,1
500,william,The Sun (1837-),NA,1
500,worth,The Sun (1837-),NA,1
500,yearly,Afro-American (1893-),NA,1
"500,000",appropriation,Afro-American (1893-),NA,1
"500,000",construction,The Sun (1837-),NA,1
"500,000",contingent,The Sun (1837-),NA,1
"500,000",death,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
"500,000",divided,The Sun (1837-),NA,1
"500,000",francs,The Sun (1837-),Special to the Baltimore Sun,1
"500,000",sentence,The Sun (1837-),NA,1
"500,000",wních,The Sun (1837-),NA,1
500.000,examina,The Sun (1837-),"O'Donnell, Louis J",1
5000,people,Afro-American (1893-),NA,1
5001,dolphin,Afro-American (1893-),NA,1
"501,600,000",mohammedans,The Sun (1837-),NA,1
502,wilson,Afro-American (1893-),NA,1
503,11,The Sun (1837-),NA,1
506,trinity,Afro-American (1893-),NA,1
507.32,george,The Sun (1837-),NA,1
508,south,The Sun (1837-),NA,1
51,06,The Sun (1837-),NA,1
51,"20,000",The Sun (1837-),Special Dispatch to the Baltimore Sun,1
51,6,The Sun (1837-),NA,1
51,alumni,The Sun (1837-),NA,1
51,authorizing,The Sun (1837-),NA,1
51,cents,The Sun (1837-),"O'Donnell, Louis J",1
51,hurt,Afro-American (1893-),NA,1
51,judge,The Sun (1837-),NA,1
51,jumpers,The Sun (1837-),A Staff Correspondent,1
51,persons,The Sun (1837-),NA,1
51,tues,The Sun (1837-),NA,1
51.50,louis,The Sun (1837-),NA,1
510,10,The Sun (1837-),NA,1
510,druid,Afro-American (1893-),NA,1
511,tons,The Sun (1837-),NA,1
512,8,Afro-American (1893-),NA,1
512,preston,The Sun (1837-),NA,1
513,"5,146",The Sun (1837-),NA,1
513,cherokee,Afro-American (1893-),"CHARLES JACKSONAFRICAN UNDERCOVERGEORGE BRAGG, JrT SMITH",1
513,numsen,Afro-American (1893-),NA,1
513,orchard,Afro-American (1893-),NA,1
513,union,Afro-American (1893-),NA,1
514,public,Afro-American (1893-),NA,1
515,archer,Afro-American (1893-),NA,1
515,somerset,Afro-American (1893-),NA,1
519,519,The Sun (1837-),NA,1
519,bloom,The Sun (1837-),NA,1
519,executive,The Sun (1837-),NA,1
519,hoffman,Afro-American (1893-),NA,1
519,st,The Sun (1837-),NA,1
519,vincent,Afro-American (1893-),NA,1
51st,street,Afro-American (1893-),"Jones, William",1
52,1,The Sun (1837-),NA,1
52,20,The Sun (1837-),NA,1
52,42,Afro-American (1893-),NA,1
52,"5,000",The Sun (1837-),NA,1
52,8,The Sun (1837-),NA,1
52,918,Afro-American (1893-),NA,1
52,authorizing,The Sun (1837-),NA,1
52,commercial,The Sun (1837-),NA,1
52,hours,The Sun (1837-),NA,1
52,judge,The Sun (1837-),NA,1
52,prominent,Afro-American (1893-),NA,1
52,yrs,Afro-American (1893-),NA,1
"52,000",miles,The Sun (1837-),NA,1
"52,455",boys,The Sun (1837-),NA,1
52.3,miles,The Sun (1837-),NA,1
521,ar,Afro-American (1893-),NA,1
522,citizens,Afro-American (1893-),NA,1
5222,florence,The Sun (1837-),NA,1
523,han,The Sun (1837-),NA,1
523,presstman,Afro-American (1893-),"Beckett, W",1
"523,517","479,467",The Sun (1837-),NA,1
5231,denmore,Afro-American (1893-),NA,1
524,347,The Sun (1837-),NA,1
524,south,The Sun (1837-),NA,1
525,eastern,The Sun (1837-),NA,1
525,list,The Sun (1837-),NA,1
525,superintendent's,The Sun (1837-),NA,1
525.60,bertha,The Sun (1837-),NA,1
525.60,george,The Sun (1837-),NA,1
527,umberland,Afro-American (1893-),"Jenkins, Ruth",1
53,"10,000",The Sun (1837-),NA,1
53,126345,The Sun (1837-),A Staff Correspondent,1
53,1520,Afro-American (1893-),NA,1
53,244,Afro-American (1893-),NA,1
53,authorizing,The Sun (1837-),NA,1
53,cents,The Sun (1837-),NA,1
53,ds,The Sun (1837-),NA,1
53,judge,The Sun (1837-),NA,1
"53,000",bail,The Sun (1837-),NA,1
53.35,sunday,Afro-American (1893-),NA,1
530,inclusive,The Sun (1837-),NA,1
531,aisquith,Afro-American (1893-),NA,1
532,carrollotn,Afro-American (1893-),NA,1
5320,maple,The Sun (1837-),NA,1
5339,denmore,Afro-American (1893-),NA,1
534,green,Afro-American (1893-),NA,1
535,oxford,Afro-American (1893-),NA,1
535.50,real,The Sun (1837-),NA,1
"536,900",maryland,The Sun (1837-),NA,1
537,dolphin,Afro-American (1893-),NA,1
537,vincent,Afro-American (1893-),NA,1
538,mission,Afro-American (1893-),NA,1
538,phipps,Afro-American (1893-),NA,1
54,3,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
54,48,Afro-American (1893-),NA,1
54,authorizing,The Sun (1837-),NA,1
54,black,The Sun (1837-),NA,1
54,cents,The Sun (1837-),"O'Donnell, Louis J",1
54,grand,The Sun (1837-),NA,1
54,judge,The Sun (1837-),NA,1
54,md,The Sun (1837-),NA,1
54,south,The Sun (1837-),NA,1
540,st,The Sun (1837-),"King, John R",1
5400,block,The Sun (1837-),NA,1
541,phipps,Afro-American (1893-),NA,1
542,phipps,Afro-American (1893-),NA,1
543,phipps,Afro-American (1893-),NA,1
5444,2,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
546.76,guardian,The Sun (1837-),NA,1
547,colored,The Sun (1837-),NA,1
547,larceny,The Sun (1837-),NA,1
547,memechen,The Sun (1837-),NA,1
548,440,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
548,st,Afro-American (1893-),NA,1
55,1,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
55,"5,000",The Sun (1837-),NA,1
55,54,The Sun (1837-),NA,1
55,accokeck,Afro-American (1893-),NA,1
55,american,The Sun (1837-),NA,1
55,authorizing,The Sun (1837-),NA,1
55,cents,The Sun (1837-),"Watson, Mark S",1
55,dis,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
55,judge,The Sun (1837-),NA,1
55,miles,The Sun (1837-),"White, James A",1
55,miles,The Sun (1837-),NA,1
55,sec,The Sun (1837-),NA,1
55,wednesday,The Sun (1837-),NA,1
"55,000","149,160",The Sun (1837-),NA,1
"55,000","55,000",The Sun (1837-),NA,1
"55,000",board,The Sun (1837-),NA,1
"55,000",department,The Sun (1837-),"Hutchison, Anne W",1
"55,000",hall,The Sun (1837-),NA,1
"55,000",pounds,The Sun (1837-),NA,1
550,additional,The Sun (1837-),Reported for the Baltimore Sun,1
550,feet,The Sun (1837-),NA,1
"552,350",dispensary,The Sun (1837-),NA,1
"556,578.45",officials,The Sun (1837-),NA,1
"557,807",whites,The Sun (1837-),NA,1
558,2,The Sun (1837-),NA,1
"558,378",provided,Afro-American (1893-),NA,1
56,1,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
56,1,The Sun (1837-),NA,1
56,authorizing,The Sun (1837-),NA,1
56,cents,The Sun (1837-),"Quinn, Albert W",1
56,fairfax,The Sun (1837-),NA,1
56,judge,The Sun (1837-),NA,1
56,malberta,Afro-American (1893-),NA,1
"56,000",veterans,The Sun (1837-),"O'Donnell, Louis J",1
"56,553","57,131",The Sun (1837-),NA,1
"56,597",day,The Sun (1837-),NA,1
560,tons,The Sun (1837-),NA,1
560.06,thekla,The Sun (1837-),NA,1
564,millons,The Sun (1837-),NA,1
565,josephine,Afro-American (1893-),NA,1
565,oxford,Afro-American (1893-),NA,1
566,numsen,Afro-American (1893-),NA,1
57,000,Afro-American (1893-),NA,1
57,6,The Sun (1837-),NA,1
57,7,The Sun (1837-),NA,1
57,authorizing,The Sun (1837-),NA,1
57,feet,The Sun (1837-),NA,1
57,judge,The Sun (1837-),NA,1
57,july,The Sun (1837-),NA,1
"57,131","113,684",The Sun (1837-),NA,1
57.28,238.50,The Sun (1837-),NA,1
570,laurens,The Sun (1837-),NA,1
572,572,The Sun (1837-),NA,1
572,led,The Sun (1837-),NA,1
"573,730",4,The Sun (1837-),NA,1
"5752,763,381",iron,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
58,50,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
58,authorizing,The Sun (1837-),NA,1
58,fahrenheit,The Sun (1837-),NA,1
58,judge,The Sun (1837-),NA,1
58,juvenile,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
58,proceedings,The Sun (1837-),NA,1
58,west,The Sun (1837-),NA,1
"58,500","711,300",The Sun (1837-),NA,1
"58,500","761,300",The Sun (1837-),NA,1
580.000,rosewood,The Sun (1837-),NA,1
582,583,The Sun (1837-),NA,1
583,girls,The Sun (1837-),NA,1
583,proceedings,The Sun (1837-),NA,1
5835,york,The Sun (1837-),NA,1
587,878,The Sun (1837-),NA,1
59,50,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
59,arrested,Afro-American (1893-),NA,1
59,authorizing,The Sun (1837-),NA,1
59,judge,The Sun (1837-),NA,1
"59,000",requested,Afro-American (1893-),Staff Correspondent,1
591,gained,Afro-American (1893-),NA,1
592,"1,874",The Sun (1837-),NA,1
592,proceedings,The Sun (1837-),NA,1
594,"3,635",The Sun (1837-),Reported for the Baltimore Sun,1
597.16,inventories,The Sun (1837-),NA,1
5s,1200,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
5s,half,The Sun (1837-),NA,1
5th,1924,The Sun (1837-),NA,1
5th,6th,Afro-American (1893-),NA,1
5th,baltimore,Afro-American (1893-),NA,1
5th,congressional,Afro-American (1893-),NA,1
5to,250,The Sun (1837-),NA,1
6,00,Afro-American (1893-),NA,1
6,1,Afro-American (1893-),NA,1
6,11,The Sun (1837-),NA,1
6,12,The Sun (1837-),NA,1
6,1864,The Sun (1837-),Reported for the Baltimore Sun,1
6,1893,The Sun (1837-),NA,1
6,1921,The Sun (1837-),NA,1
6,1939,The Sun (1837-),NA,1
6,2,The Sun (1837-),A Staff Correspondent,1
6,2,The Sun (1837-),"Elmer, Robert",1
6,"250,000",The Sun (1837-),NA,1
6,26,The Sun (1837-),NA,1
6,3,Afro-American (1893-),NA,1
6,30,Afro-American (1893-),NA,1
6,6,Afro-American (1893-),NA,1
6,7,Afro-American (1893-),NA,1
6,article,The Sun (1837-),NA,1
6,atlantic,The Sun (1837-),NA,1
6,bench,Afro-American (1893-),NA,1
6,catonsville,The Sun (1837-),NA,1
6,charges,Afro-American (1893-),NA,1
6,cheltenham,The Sun (1837-),NA,1
6,city,The Sun (1837-),NA,1
6,column,The Sun (1837-),"Dorsch, George C",1
6,column,The Sun (1837-),HULBERT FOOTNER,1
6,continued,The Sun (1837-),"O'Donnell, Louis J",1
6,cornet,Afro-American (1893-),NA,1
6,dennis,The Sun (1837-),NA,1
6,digit,Afro-American (1893-),NA,1
6,edward,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
6,elder,Afro-American (1893-),NA,1
6,employes,The Sun (1837-),NA,1
6,feet,Afro-American (1893-),NA,1
6,feet,The Sun (1837-),NA,1
6,forest,The Sun (1837-),NA,1
6,franklin,The Sun (1837-),NA,1
6,friends,The Sun (1837-),NA,1
6,ft,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
6,furlong,The Sun (1837-),A Staff Correspondent,1
6,furlonge,The Sun (1837-),NA,1
6,gonzaga,The Sun (1837-),NA,1
6,hall,The Sun (1837-),NA,1
6,holy,The Sun (1837-),NA,1
6,hopkins,The Sun (1837-),NA,1
6,j.spicer,The Sun (1837-),NA,1
6,judge,The Sun (1837-),NA,1
6,juvenile,The Sun (1837-),NA,1
6,machines,Afro-American (1893-),NA,1
6,maryland,The Sun (1837-),NA,1
6,minutes,The Sun (1837-),NA,1
6,month,The Sun (1837-),NA,1
6,months,Afro-American (1893-),NA,1
6,mt,The Sun (1837-),NA,1
6,national,The Sun (1837-),NA,1
6,negro,The Sun (1837-),NA,1
6,o'clock,The Sun (1837-),"Parks, Grace S",1
6,oldo,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
6,p.m,Afro-American (1893-),NA,1
6,past,Afro-American (1893-),NA,1
6,physical,The Sun (1837-),NA,1
6,provision,The Sun (1837-),NA,1
6,royal,The Sun (1837-),NA,1
6,sat,Afro-American (1893-),NA,1
6,service,The Sun (1837-),NA,1
6,shepard.f,The Sun (1837-),NA,1
6,south,The Sun (1837-),NA,1
6,sparrows,The Sun (1837-),NA,1
6,spe,The Sun (1837-),NA,1
6,tary,The Sun (1837-),NA,1
6,unemployment,The Sun (1837-),NA,1
6,vacancies,Afro-American (1893-),NA,1
6,west,The Sun (1837-),NA,1
6,writing,The Sun (1837-),NA,1
"6,000","2,700",Afro-American (1893-),NA,1
"6,000","6,000",Afro-American (1893-),NA,1
"6,000","8,000",The Sun (1837-),"O'Donnell, Louis J",1
"6,000",acre,The Sun (1837-),"Watson, Mark S",1
"6,000",additional,The Sun (1837-),NA,1
"6,000",colored,Afro-American (1893-),NA,1
"6,000",crates,The Sun (1837-),NA,1
"6,000",damages,The Sun (1837-),NA,1
"6,000",en,The Sun (1837-),NA,1
"6,000",fire,Afro-American (1893-),NA,1
"6,000",greatly,The Sun (1837-),NA,1
"6,000",house,The Sun (1837-),NA,1
"6,000",memberships,Afro-American (1893-),NA,1
"6,000,000",acres,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
"6,000,000",continued,The Sun (1837-),NA,1
"6,000,000",maryland's,The Sun (1837-),NA,1
"6,000,000",pounds,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
"6,150,000","14,963,000",The Sun (1837-),NA,1
"6,160",montrose,The Sun (1837-),"O'Donnell, Louis J",1
"6,171",93,The Sun (1837-),NA,1
"6,250,000",weekly,The Sun (1837-),NA,1
"6,274",mayor,The Sun (1837-),"O'Donnell, Louis J",1
"6,400",messages,The Sun (1837-),"Haller, Harry",1
"6,400",workers,The Sun (1837-),"Haller, Harry",1
"6,500","1,000",The Sun (1837-),NA,1
"6,500",pasteurization,Afro-American (1893-),NA,1
"6,500",porch,Afro-American (1893-),NA,1
"6,500",workers,The Sun (1837-),NA,1
"6,551,000",department,The Sun (1837-),NA,1
"6,6",4,The Sun (1837-),NA,1
"6,768",1,The Sun (1837-),NA,1
"6,768",600,The Sun (1837-),NA,1
"6,769",witnesses,The Sun (1837-),NA,1
"6,865",reassessed,The Sun (1837-),NA,1
"6,889,396",listed,The Sun (1837-),NA,1
"6,889,396",urgent,The Sun (1837-),NA,1
6.000,citizens,Afro-American (1893-),"Phillips, B",1
6.000,depositors,Afro-American (1893-),NA,1
6.000,real,The Sun (1837-),NA,1
6.1901,henrietta,The Sun (1837-),NA,1
6.25,cents,The Sun (1837-),"Hutchison, Anne W",1
6.252.66,florence,The Sun (1837-),NA,1
6.27,thomas,The Sun (1837-),NA,1
6.30,o'clock,The Sun (1837-),NA,1
6.550,william,The Sun (1837-),NA,1
6.66,2,The Sun (1837-),NA,1
60,20,The Sun (1837-),NA,1
60,"20,000",The Sun (1837-),NA,1
60,"5,000",The Sun (1837-),NA,1
60,authorizing,The Sun (1837-),NA,1
60,detailed,The Sun (1837-),Reported for the Baltimore Sun,1
60,feet,The Sun (1837-),A Staff Correspondent,1
60,fine,The Sun (1837-),NA,1
60,frank,The Sun (1837-),NA,1
60,inmates,The Sun (1837-),NA,1
60,jo,The Sun (1837-),NA,1
60,judge,The Sun (1837-),NA,1
60,lo,Afro-American (1893-),NA,1
60,people,The Sun (1837-),NA,1
60,pounds,Afro-American (1893-),NA,1
60,social,Afro-American (1893-),NA,1
60,totals,The Sun (1837-),NA,1
60,west,The Sun (1837-),NA,1
"60,000","24,000",The Sun (1837-),NA,1
"60,000","30,000",The Sun (1837-),NA,1
"60,000",annually,The Sun (1837-),NA,1
"60,000",baltimoreans,The Sun (1837-),NA,1
"60,000",completion,The Sun (1837-),NA,1
"60,000",estate,The Sun (1837-),NA,1
"60,000",requested,The Sun (1837-),NA,1
"60,000",salisbury,The Sun (1837-),"Hutchison, Anne W",1
"60,000",university,The Sun (1837-),NA,1
"60,666",colored,Afro-American (1893-),NA,1
60.000,due,The Sun (1837-),Correspondence of the Baltimore Sun,1
600,"2,875",The Sun (1837-),NA,1
600,acre,The Sun (1837-),NA,1
600,addi,The Sun (1837-),NA,1
600,administration,The Sun (1837-),NA,1
600,carnest,The Sun (1837-),NA,1
600,elephants,Afro-American (1893-),NA,1
600,homes,The Sun (1837-),NA,1
600,miss,The Sun (1837-),NA,1
600,people,The Sun (1837-),NA,1
600,prisoners,The Sun (1837-),Reported for the Baltimore Sun,1
600,pupils,Afro-American (1893-),NA,1
"600,000","275,000",The Sun (1837-),NA,1
"600,000","700,000",The Sun (1837-),NA,1
"600,000",damage,The Sun (1837-),NA,1
"600,000",overhead,The Sun (1837-),"King, John R",1
6000,block,The Sun (1837-),NA,1
601,679,The Sun (1837-),NA,1
6017,pearce,Afro-American (1893-),NA,1
6017,sycamore,The Sun (1837-),NA,1
604.77,annie,The Sun (1837-),NA,1
607,st,The Sun (1837-),NA,1
608,cumber,Afro-American (1893-),NA,1
60c,bunch,The Sun (1837-),NA,1
61,2800,The Sun (1837-),NA,1
61,870.89,The Sun (1837-),NA,1
61,authorizing,The Sun (1837-),NA,1
61,glenn,Afro-American (1893-),NA,1
61,judge,The Sun (1837-),NA,1
61,librarian,The Sun (1837-),NA,1
61,spar,Afro-American (1893-),NA,1
61,votes,Afro-American (1893-),NA,1
"61,974",maryland,The Sun (1837-),NA,1
61.00,edward,The Sun (1837-),NA,1
610,ma,Afro-American (1893-),NA,1
610,reservoir,The Sun (1837-),NA,1
612,aisquith,The Sun (1837-),NA,1
612,brune,Afro-American (1893-),NA,1
612,fremont,Afro-American (1893-),NA,1
612,pounds,The Sun (1837-),NA,1
613,baker,Afro-American (1893-),NA,1
614,north,The Sun (1837-),NA,1
"616,000",1,The Sun (1837-),NA,1
618,rich,Afro-American (1893-),"Garrett, Lula",1
62,"50,000",The Sun (1837-),NA,1
62,american,The Sun (1837-),NA,1
62,authorizing,The Sun (1837-),NA,1
62,cart,The Sun (1837-),NA,1
62,cents,Afro-American (1893-),NA,1
62,colored,The Sun (1837-),NA,1
62,editor,Afro-American (1893-),NA,1
62,hours,The Sun (1837-),NA,1
62,judge,The Sun (1837-),NA,1
"62,000","7,850",The Sun (1837-),NA,1
620,bond,Afro-American (1893-),NA,1
620,kath,The Sun (1837-),NA,1
621.05,john,The Sun (1837-),NA,1
622,park,The Sun (1837-),NA,1
622.33,herbert,The Sun (1837-),NA,1
623,lan,Afro-American (1893-),NA,1
625,erie,Afro-American (1893-),NA,1
628,ker,Afro-American (1893-),NA,1
63,5s,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
63,authorizing,The Sun (1837-),NA,1
63,baltimore,Afro-American (1893-),NA,1
63,judge,The Sun (1837-),NA,1
"63,000",rosewood,The Sun (1837-),NA,1
"63,233",92,The Sun (1837-),NA,1
"63,710",department,The Sun (1837-),NA,1
630,sterling,Afro-American (1893-),NA,1
630,supervis,The Sun (1837-),NA,1
"630,000",gov,Afro-American (1893-),NA,1
6300,park,The Sun (1837-),NA,1
632,josephine,Afro-American (1893-),NA,1
633,central,Afro-American (1893-),NA,1
637,25,The Sun (1837-),NA,1
637,581,The Sun (1837-),NA,1
638,clinton,The Sun (1837-),NA,1
639,736,The Sun (1837-),NA,1
64,5s,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
64,authorizing,The Sun (1837-),NA,1
64,gambling,The Sun (1837-),NA,1
64,judge,The Sun (1837-),NA,1
64,minutes,The Sun (1837-),NA,1
64,vet,Afro-American (1893-),NA,1
"64,946","73,098",The Sun (1837-),NA,1
640,vine,Afro-American (1893-),NA,1
"641,200",whites,The Sun (1837-),NA,1
644,george,Afro-American (1893-),NA,1
646,bruce,Afro-American (1893-),NA,1
"646,200","1,830,000",The Sun (1837-),NA,1
647,acts,The Sun (1837-),NA,1
647,calhoun,Afro-American (1893-),NA,1
647,west,The Sun (1837-),NA,1
648,1,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
649,bankard,Afro-American (1893-),NA,1
649,city,The Sun (1837-),NA,1
65,017,The Sun (1837-),NA,1
65,39,The Sun (1837-),NA,1
65,authorizing,The Sun (1837-),NA,1
65,director,Afro-American (1893-),NA,1
65,fulltime,Afro-American (1893-),NA,1
65,george,The Sun (1837-),NA,1
65,grey,Afro-American (1893-),NA,1
65,infected,Afro-American (1893-),NA,1
65,investment,The Sun (1837-),NA,1
65,judge,The Sun (1837-),NA,1
65,miles,The Sun (1837-),NA,1
65,munroe,Afro-American (1893-),"Tucker, Herbert;Freeman, Elliott",1
"65,000",1,Afro-American (1893-),NA,1
"65,000",additional,The Sun (1837-),A Staff Correspondent,1
"65,000",apiary,The Sun (1837-),"Hutchison, Anne W",1
"65,000",department,The Sun (1837-),NA,1
"65,000",lege,The Sun (1837-),NA,1
"65,611","91,288",The Sun (1837-),NA,1
650,personal,The Sun (1837-),NA,1
650,saratoga,Afro-American (1893-),NA,1
650,tickets,The Sun (1837-),NA,1
655,projects,The Sun (1837-),NA,1
656,602,The Sun (1837-),NA,1
"656,481","912,514",The Sun (1837-),NA,1
66,authorizing,The Sun (1837-),NA,1
66,city's,The Sun (1837-),NA,1
66,judge,The Sun (1837-),NA,1
66.31,acres,The Sun (1837-),NA,1
660,bags,The Sun (1837-),NA,1
662,miss,The Sun (1837-),NA,1
667,637,The Sun (1837-),NA,1
667,667,The Sun (1837-),NA,1
667,eries,The Sun (1837-),NA,1
"668,100","3,645,994",The Sun (1837-),NA,1
668.100,maryland,The Sun (1837-),NA,1
"669,000",maryland,The Sun (1837-),NA,1
669.000,"406,450",The Sun (1837-),NA,1
67,10,The Sun (1837-),NA,1
67,686970,The Sun (1837-),NA,1
67,authorizing,The Sun (1837-),NA,1
67,dead,Afro-American (1893-),NA,1
67,judge,The Sun (1837-),NA,1
67,spanish,Afro-American (1893-),NA,1
677,west,The Sun (1837-),NA,1
"677,986",82,The Sun (1837-),NA,1
68,authorizing,The Sun (1837-),NA,1
68,children,The Sun (1837-),NA,1
68,days,The Sun (1837-),NA,1
68,founder,Afro-American (1893-),NA,1
68,judge,The Sun (1837-),NA,1
68,lived,The Sun (1837-),NA,1
"68,874","68,874",Afro-American (1893-),NA,1
"68,874",vocational,Afro-American (1893-),NA,1
68.50,edward,The Sun (1837-),NA,1
685,colored,The Sun (1837-),NA,1
685.70,ulysses,The Sun (1837-),NA,1
"686,205,859","41,407,611",The Sun (1837-),Special Dispatch to the Baltimore Sun,1
686970,71,The Sun (1837-),NA,1
"687,090",21,The Sun (1837-),NA,1
69,authorizing,The Sun (1837-),NA,1
69,dies,The Sun (1837-),NA,1
69,judge,The Sun (1837-),NA,1
69,madison,The Sun (1837-),NA,1
69,procedings,The Sun (1837-),NA,1
6913,kenleigh,The Sun (1837-),NA,1
6th,1914,Afro-American (1893-),NA,1
6th,1924,The Sun (1837-),NA,1
6th,7th,Afro-American (1893-),NA,1
6th,session,Afro-American (1893-),NA,1
7,0,Afro-American (1893-),NA,1
7,0,The Sun (1837-),NA,1
7,1,The Sun (1837-),NA,1
7,"1,200",The Sun (1837-),NA,1
7,10,The Sun (1837-),NA,1
7,122,Afro-American (1893-),NA,1
7,14,The Sun (1837-),NA,1
7,15,Afro-American (1893-),NA,1
7,1887,The Sun (1837-),Reported for the Baltimore Sun,1
7,1904,The Sun (1837-),NA,1
7,1928,Afro-American (1893-),NA,1
7,1930,Afro-American (1893-),NA,1
7,1937,Afro-American (1893-),NA,1
7,2,The Sun (1837-),NA,1
7,200,The Sun (1837-),NA,1
7,8,Afro-American (1893-),NA,1
7,9,The Sun (1837-),NA,1
7,950.57,The Sun (1837-),NA,1
7,address,Afro-American (1893-),NA,1
7,arbutus,The Sun (1837-),NA,1
7,army,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
7,army,The Sun (1837-),NA,1
7,borriner,The Sun (1837-),NA,1
7,calvert,The Sun (1837-),NA,1
7,chil,Afro-American (1893-),NA,1
7,city,The Sun (1837-),NA,1
7,column,The Sun (1837-),"O'Donnell, Louis J",1
7,cresmont,Afro-American (1893-),NA,1
7,dam,Afro-American (1893-),James,1
7,delaware,The Sun (1837-),NA,1
7,deputy,The Sun (1837-),NA,1
7,excerpts,Afro-American (1893-),NA,1
7,feet,The Sun (1837-),NA,1
7,forest,The Sun (1837-),NA,1
7,forlongs,The Sun (1837-),NA,1
7,gilman,The Sun (1837-),NA,1
7,governor,Afro-American (1893-),NA,1
7,governor,The Sun (1837-),"O'Donnell, Thomas J",1
7,holdup,Afro-American (1893-),NA,1
7,hopkins,The Sun (1837-),NA,1
7,hour,Afro-American (1893-),NA,1
7,institutions,Afro-American (1893-),NA,1
7,itutkowl.g,The Sun (1837-),NA,1
7,jamaica,The Sun (1837-),NA,1
7,judge,The Sun (1837-),NA,1
7,lawrence,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
7,louis,Afro-American (1893-),NA,1
7,martin,The Sun (1837-),NA,1
7,metropolitan,Afro-American (1893-),NA,1
7,miles,The Sun (1837-),NA,1
7,miss,Afro-American (1893-),NA,1
7,mitted,Afro-American (1893-),NA,1
7,navy,The Sun (1837-),NA,1
7,norfolk,Afro-American (1893-),NA,1
7,o'clock,Afro-American (1893-),NA,1
7,o'clock,The Sun (1837-),Special from a Staff Correspondent,1
7,operation,Afro-American (1893-),NA,1
7,ounce,The Sun (1837-),"Parks, Grace S",1
7,patterson,The Sun (1837-),NA,1
7,poly,The Sun (1837-),NA,1
7,pounds,The Sun (1837-),NA,1
7,provision,The Sun (1837-),NA,1
7,proximo,The Sun (1837-),Reported for the Baltimore Sun,1
7,reorganization,The Sun (1837-),NA,1
7,royal,The Sun (1837-),NA,1
7,scout,Afro-American (1893-),NA,1
7,st,The Sun (1837-),NA,1
7,struck,Afro-American (1893-),NA,1
7,superin,The Sun (1837-),NA,1
7,virginia,The Sun (1837-),NA,1
7,wisconsin,The Sun (1837-),NA,1
7,λ.μ,The Sun (1837-),NA,1
7,р,Afro-American (1893-),"Beckett, W",1
"7,000","18,137",The Sun (1837-),NA,1
"7,000",adjutant,The Sun (1837-),NA,1
"7,028","23,825",The Sun (1837-),NA,1
"7,100",000,The Sun (1837-),NA,1
"7,500","21,442",The Sun (1837-),NA,1
"7,500",charles,The Sun (1837-),NA,1
"7,602,184","34,629,339",The Sun (1837-),NA,1
"7,700",vocational,The Sun (1837-),"O'Donnell, Louis J",1
"7,783","1,000",The Sun (1837-),NA,1
"7,850","1,000",The Sun (1837-),NA,1
"7,894,730",39,The Sun (1837-),NA,1
"7,922","1,896",The Sun (1837-),NA,1
"7,993",300,The Sun (1837-),NA,1
7.00,morgan,Afro-American (1893-),NA,1
7.021.68,william,The Sun (1837-),NA,1
7.13,8.02,The Sun (1837-),NA,1
7.30,o'clock,The Sun (1837-),Special from a Staff Correspondent,1
7.30,o'clock,The Sun (1837-),NA,1
7.31,o'clock,The Sun (1837-),NA,1
7.500,messrs,The Sun (1837-),Special Dispatch to the Baltimore Sun,1
7.823,85,The Sun (1837-),NA,1
7.95,dailey's,Afro-American (1893-),NA,1
70,114,The Sun (1837-),NA,1
70,14,The Sun (1837-),NA,1
70,authorizing,The Sun (1837-),NA,1
70,blue,Afro-American (1893-),NA,1
70,feet,The Sun (1837-),NA,1
70,hit,Afro-American (1893-),NA,1
70,judge,The Sun (1837-),NA,1
